Membership No  Date Joined  Active  
    17668      2017-1-9     yes   
    67685      2015-8-12    no    
    26061      2016-5-16    no    
    69912      2020-6-21    no    
    78836      2015-10-19   no    
    62484      2016-11-25   no    
    28853      2020-6-6     yes   
    70001      2018-6-14    yes   
    97700      2018-12-16   yes   
    49324      2020-5-6     no    
    47784      2020-10-4    no    
    90467      2017-4-20    no    
    81797      2020-4-12    yes   
    36822      2015-8-8     yes   
    75068      2017-11-1    no    
    11376      2016-12-3    yes   
    28230      2016-2-9     yes   
    42655      2017-7-9     yes   
    84332      2016-11-12   no    
    79232      2017-8-14    no    
